,Unnamed: 0,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
1,1,1646265600,211.46,190.81,196.82,1492106.37,312823236.66,209.65,multiply,BTC,2022-03-03
2,2,1646179200,199.26,183.47,200.45,778100.04,153149115.12,196.82,multiply,BTC,2022-03-02
3,3,1646092800,217.41,197.24,195.17,1056591.58,211789768.08,200.45,multiply,BTC,2022-03-01
4,4,1646006400,199.55,187.87,182.68,1390758.35,271438488.04,195.17,multiply,BTC,2022-02-28
5,5,1645920000,196.74,180.96,204.5,920880.21,168230529.07,182.68,multiply,BTC,2022-02-27
6,6,1645833600,207.29,185.47,166.66,1179032.06,241115240.99,204.5,multiply,BTC,2022-02-26
7,7,1645747200,168.87,151.27,154.54,885581.81,147591899.15,166.66,multiply,BTC,2022-02-25
8,8,1645660800,162.61,148.34,171.09,1149133.79,177582266.01,154.54,multiply,BTC,2022-02-24
9,9,1645574400,179.17,164.14,150.71,865552.51,148084842.01,171.09,multiply,BTC,2022-02-23
10,10,1645488000,151.4,147.18,160.21,624024.87,94043668.17,150.71,multiply,BTC,2022-02-22
11,11,1645401600,172.75,159.63,176.14,790260.88,126604778.43,160.21,multiply,BTC,2022-02-21
12,12,1645315200,178.71,168.18,175.6,654849.64,115346518.25,176.14,multiply,BTC,2022-02-20
13,13,1645228800,179.8,173.73,176.61,365463.78,64177122.51,175.6,multiply,BTC,2022-02-19
14,14,1645142400,186.84,176.48,185.96,775320.86,136930235.02,176.61,multiply,BTC,2022-02-18
15,15,1645056000,191.12,174.0,185.01,1679606.17,312343208.66,185.96,multiply,BTC,2022-02-17
16,16,1644969600,187.4,181.21,175.42,588674.52,108908767.34,185.01,multiply,BTC,2022-02-16
17,17,1644883200,177.34,171.92,176.88,851917.14,149446849.25,175.42,multiply,BTC,2022-02-15
18,18,1644796800,179.48,168.79,171.93,635054.34,112327290.21,176.88,multiply,BTC,2022-02-14
19,19,1644710400,179.02,170.61,164.68,488027.61,83907404.6,171.93,multiply,BTC,2022-02-13
