,Unnamed: 0,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
1,1,1646265600,17.1,16.32,17.08,17075990.18,282292551.31,16.53,multiply,USDT,2022-03-03
2,2,1646179200,17.69,16.9,17.32,15291241.4,261238779.24,17.08,multiply,USDT,2022-03-02
3,3,1646092800,17.92,16.83,17.4,22261389.05,385542459.16,17.32,multiply,USDT,2022-03-01
4,4,1646006400,17.52,15.38,16.22,29676594.33,516265608.84,17.4,multiply,USDT,2022-02-28
5,5,1645920000,17.34,15.89,16.7,23798274.32,385930141.52,16.22,multiply,USDT,2022-02-27
6,6,1645833600,17.31,15.93,15.98,24171748.19,403653353.32,16.7,multiply,USDT,2022-02-26
7,7,1645747200,16.19,14.66,14.97,19559762.38,312640307.92,15.98,multiply,USDT,2022-02-25
8,8,1645660800,15.42,13.04,14.67,41447279.09,620540497.42,14.97,multiply,USDT,2022-02-24
9,9,1645574400,16.06,14.63,15.29,24463690.33,358844296.1,14.67,multiply,USDT,2022-02-23
10,10,1645488000,15.38,14.56,14.81,21739615.58,332332198.99,15.29,multiply,USDT,2022-02-22
11,11,1645401600,16.23,14.71,15.57,25459675.34,377074085.98,14.81,multiply,USDT,2022-02-21
12,12,1645315200,16.45,15.41,16.45,15545516.98,242107591.45,15.57,multiply,USDT,2022-02-20
13,13,1645228800,16.79,16.01,16.45,9464972.64,155667527.66,16.45,multiply,USDT,2022-02-19
14,14,1645142400,17.14,16.29,16.73,15060811.31,247744954.28,16.45,multiply,USDT,2022-02-18
15,15,1645056000,18.44,16.47,18.26,17485372.23,292478520.71,16.73,multiply,USDT,2022-02-17
16,16,1644969600,18.62,17.6,18.67,12838408.23,234457732.84,18.26,multiply,USDT,2022-02-16
17,17,1644883200,18.8,17.26,17.3,13684934.72,255500139.77,18.67,multiply,USDT,2022-02-15
18,18,1644796800,17.51,16.69,17.38,14038231.64,242906357.79,17.3,multiply,USDT,2022-02-14
19,19,1644710400,17.85,17.06,17.44,11544469.03,200634375.01,17.38,multiply,USDT,2022-02-13
20,20,1644624000,17.99,16.95,17.59,16267878.35,283750450.9,17.44,multiply,USDT,2022-02-12
21,21,1644537600,19.21,17.28,19.02,21800870.33,383372446.92,17.59,multiply,USDT,2022-02-11
